REPORT_SPECIES_NAME,REPORT_SPECIES_DISPLAYNAME,REPORT_SPECIES_ID,STRUCTURE_DEF_ID,LINE_ID,FIELD_ID,FIELD_NAME,FIELD_TYPE,START_COLUMN,END_COLUMN,FIELD_WIDTH,IS_SIGNIFICANT,IS_INDEXED,LINE_NAME,LINE_TEMPLATE
IG2202P,IG2202P,1656,6840,8,1,RECEIVING_ACCOUNT_NO,Text,0,14,15,1,1,RptDetailsLine001,"999-9999999999     9,999,999,999,999.99AA    999-9999999999                           99       AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA  *"
IG2202P,IG2202P,1656,6840,8,3,ORIGINATING_ACCOUNT_NO,Text,45,58,14,1,1,RptDetailsLine001,"999-9999999999     9,999,999,999,999.99AA    999-9999999999                           99       AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA  *"
IG2203BP,IG2203BP:Outwrd IBG Invald IntraGP CASA/GL Cr Tx,8717,9869,8,2,RECEIVING_ACCCOUNT_NO,Text,3,20,18,1,1,RptDetailsLine001,   999-9999999999                  999.99   A    999-999999-999AAAAA AA AAA  AA       A    99      9A99A9AA9AAA99A9AA9A9AAAAAAA999A     AAA9AAAAA  AA:AAAAA                                           *
IG2203P,IG2203P:Outwrd IBG Invald IntraGP CASA/GL Cr Tx,1659,9870,22,3,RA_SEGMENT,Text,46,48,3,1,1,RptDetailsLine001,   999-9-999999                      999.99   A    999-999999-999 AAA                  A   99       9A99A9A99A9A99A9AA999A99A999999A        99999   AA:AA/AA AA AAAAAA                                *
IG2203P,IG2203P:Outwrd IBG Invald IntraGP CASA/GL Cr Tx,1659,9870,22,6,OA_SEGMENT,Text,87,89,3,1,1,RptDetailsLine001,   999-9-999999                      999.99   A    999-999999-999 AAA                  A   99       9A99A9A99A9A99A9AA999A99A999999A        99999   AA:AA/AA AA AAAAAA                                *
IG2203P,IG2203P:Outwrd IBG Invald IntraGP CASA/GL Cr Tx,1659,9870,22,7,TX_CD,Text,91,95,5,1,1,RptDetailsLine001,   999-9-999999                      999.99   A    999-999999-999 AAA                  A   99       9A99A9A99A9A99A9AA999A99A999999A        99999   AA:AA/AA AA AAAAAA                                *
IG2204BP,IG2204BP:Outward IBG Invalid IntraGroup Debit Tx,8720,9871,9,1,RECEIVING_ACC_NO,Text,0,13,14,1,1,RptDetailsLine001,"999-9999999999  AAAAAAAAAAAAAAAAAAAA 9,999,999,999,999.99  999-9999999999 AAAAAAAAAAAAAAAAAAAA      AA    99       AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA                                                *"
IG2204P,IG2204P:Outward IBG Invalid IntraGroup Debit Tx,1661,9872,9,1,RECEIVING_ACC_NO,Text,0,13,14,1,1,RptDetailsLine001,"999-9999999999  AAAAAAAAAAAAAAAAAAAA 9,999,999,999,999.99  999-9999999999 AAAAAAAAAAAAAAAAAAAA      AA    99       AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA                                                *"
IG2205BP,IG2205BP,8719,3081,8,1,ORIGINATING_BANK_BIC_ACCOUNT,Text,0,25,26,1,1,RptDetailsLine001,"AAAAAAAAAAA-999-9999999999  AAAAAAAAAAAAAAAAAAAA AA    AAAAAAAAAAA-AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA AAAAAAAAAAAAAAAAAAAA 9,999,999,999,999.99  99 AAAA  AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA         *"
IG2205P,IG2205P,1662,3080,8,1,ORIGINATING_BANK_BIC_ACCOUNT,Text,0,25,26,1,1,RptDetailsLine001,"AAAAAAAAAAA-999-9999999999  AAAAAAAAAAAAAAAAAAAA AA    AAAAAAAAAAA-AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA AAAAAAAAAAAAAAAAAAAA 9,999,999,999,999.99  99 AAAA  AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA         *"
IG2209IP,IG2209IP:In-House GIRO Branch Summary GIRO Charges,19132,3187,8,1,ORI_ACCOUNT_NO,Text,0,15,16,1,1,RptDetailsLine001,999-999999-999  AAAA AAAA AAAA AAAA   A         9         9.99        9         9.99        9         9.99            9.99          *
IG2212P,IG2212P,1671,3096,9,2,RECEIVING_ACCOUNT_NO,Mask,37,50,14,1,1,RptDetailsLine001,99999999AAAAAAA9AAA9999999           999-9999999999               999.99    AAAAAAA9AAA-999999999                           99                                AAAAAAA999                             *
