REPORT_SPECIES_NAME,REPORT_SPECIES_DISPLAYNAME,REPORT_SPECIES_ID,STRUCTURE_DEF_ID,LINE_ID,FIELD_ID,FIELD_NAME,FIELD_TYPE,START_COLUMN,END_COLUMN,FIELD_WIDTH,IS_SIGNIFICANT,IS_INDEXED,LINE_NAME,LINE_TEMPLATE
BC2014P,BC2014P:SIBS WATCHLIST MONTHLY EXCEPTION RPT,41266,5219,9,7,CIF_NUMBER,Text,93,118,26,1,1,RptDetailLine003,AAA AAAAAA            :                                              AAA AAAAAA            :           999999999                                                                                    *
BC2022P,BC2022P:WATCHLIST C WITH CIF TAGGED MONTHLY-CFS,46153,8440,10,2,CIF_NUMBER,Text,3,21,19,1,1,RptDetailLine001,9           9999999999  AAAAAAAAA999                                                                       AA AAAAAA - AAAAAAA AAAAAAAAAAA                         9/99/9999     9 *
BC2060P,BC2060P,1,7222,10,5,CIF_NUMBER,Text,44,53,10,1,1,RptDetailLine001,A9999999A      / AA/ AA                      999999999  AAAAAAAAAA A                                                                *
BC2060P,BC2060P,1,7222,11,1,User_ID,Text,0,9,10,1,1,RptDetailLine002,*AAAAAAAA  AAA                                    9999  AAA  AAAAAAAAAA AAAA AA                                                     *
BC2064P,BC2064P:Successful Maintenance Activity Sum Rpt,45842,10319,7,1,CIF_NUMBER,Decimal,1,22,22,1,1,RptDetailsLine001,            999999999   A       A      A999        9999 AAAAAA AAAAAAAA AAAAAAA A                *AAAAAAA                AAA        *
BC2219P,BC2219P:LIST OF CUST FOREIGN TAX INFO EXCEPT RPT,38518,6499,9,4,ID_NUMBER,Text,45,60,16,1,1,RptDetailLine001,9999999999999999999   AAAAAAAAAAA.AAA        A9999            AA    AA       A                                                      *
BC2235PC,BC2235PC:Corporate Demographic CIC Weekly Rept,40059,4162,13,2,CIF_NUMBER,Text,3,21,19,1,1,RptDetailLine001,9            999999999 9A99AA9A9AAAA9A999AA  9999A      A    A  AAAAAAAAAA AAAAAAA AAAAAAAAA -  A   A   A999       A99A99A999                    *
BC2283P,BC2283P:BW Grp Transaction Access Matrix Rpt,42928,7553,8,1,DEPARTMENT,Text,0,9,10,1,1,RptDetailLine001,999           AAAA           *AAAAAAAA            9999           AAA999           AAA           A       AAAAAAAA AAAAAA                                                                 *
BC2283P,BC2283P:BW Grp Transaction Access Matrix Rpt,42928,7553,8,2,BW_GROUP,Text,14,22,9,1,1,RptDetailLine001,999           AAAA           *AAAAAAAA            9999           AAA999           AAA           A       AAAAAAAA AAAAAA                                                                 *
BC2283P,BC2283P:BW Grp Transaction Access Matrix Rpt,42928,7553,8,5,PROGRAM,Text,65,72,8,1,1,RptDetailLine001,999           AAAA           *AAAAAAAA            9999           AAA999           AAA           A       AAAAAAAA AAAAAA                                                                 *
BC7014P,BC7014P:Registered Addr Remediation Update Rpt,49128,10795,7,2,CIF_NUMBER,DigitCode,3,21,19,1,1,RptDetailLine001,"9  999999999           A   AAAAAAA AAAAAAA                 A/A          A/A     A/A              A/A                                 A/A                              A/A    AAAAAAAAAA, AAA      AA  *"
BC7014P,BC7014P:Registered Addr Remediation Update Rpt,49128,10795,7,14,COUNTRY,Text,194,196,3,1,1,RptDetailLine001,"9  999999999           A   AAAAAAA AAAAAAA                 A/A          A/A     A/A              A/A                                 A/A                              A/A    AAAAAAAAAA, AAA      AA  *"
BC9284P,BC9284P:SIBS Batch Sync to MSCRM-Resend Excep Rpt,49067,10753,10,2,CIF_NUMBER,Text,2,20,19,1,1,RptDetailLine001,9          9999999999     AAA     AA99999999999999999999      99/99/99    / 99:99:99                                                *
BC9284P,BC9284P:SIBS Batch Sync to MSCRM-Resend Excep Rpt,49067,10753,11,2,ERROR_CODE1,Text,2,25,24,1,1,RptDetailLine002,9 999 AAAAAAAA AAAAA                                                                                                                *
BCZ700PHC,BCZ700PHC:HCM Brch Successful Maint Act Report A,45299,7244,10,5,CIF_NUMBER,Text,44,53,10,1,1,RptDetailLine001,A9999999A      / AA/ AA                     9999999999  AAAAAAAA A                                                                  *
BCZ700PHC,BCZ700PHC:HCM Brch Successful Maint Act Report A,45299,7244,11,1,User_ID,Text,0,9,10,1,1,RptDetailLine002,*AAAAAAAA  AAA                                    9999  AAA  AAAAAAAAAA AAAA AA                                                     *
BCZ700PHK,BCZ700PHK:HK Brch Successful Maint Act Rpt,45290,7246,10,5,CIF_NUMBER,Text,44,53,10,1,1,RptDetailLine001,A9999999A      / AA/ AA                     9999999999  AAAAAAAA A                                                                  *
BCZ700PHK,BCZ700PHK:HK Brch Successful Maint Act Rpt,45290,7246,11,1,User_ID,Text,0,9,10,1,1,RptDetailLine002,*AAAAAAAA  AAA                                    9999  AAA  AAAAAAAAAA AAAA AA                                                     *
CCCCA308P,CCCCA308P:BOS Transaction Extraction Report,43900,5627,8,2,REC,Text,2,133,132,1,1,RptDetailLine001,9 9999999999999999999AAAAAA AAA999                           999999999999;                                                            *
CCCCA311P,CCCCA311P:BDC Transaction Extraction Rpt,44197,5912,8,4,CARD_NUMBER,Text,21,36,16,1,1,RptDetailLine001,9  99999999  999999  9999999999999999  99999999  99999999               99.99    AAA           999999.99    AAA   99                                                      9999999999  999999999A*
CCCCD018P,CCCCD018P,10806,8131,11,3,CARD_NO_CORP_AC,Text,17,33,17,1,1,RptDetailsLine001,   9  A-A        9999999999999999                                             9999   999   9999999              999999999999               .99   99/99/99              9     AA99999         A            *
CCCCD020P,CCCCD020P,10804,8134,8,3,CARD_NO,Text,19,34,16,1,1,RptDetailsLine001,   9  A-A          9999999999999999                                             AAAA AAAAAA                                                   99      AA99999     99:99:99  AA AAAA        99                A                   *
CCCCD021P,CCCCD021P,10805,8135,8,3,CARD_NO,Text,19,35,17,1,1,RptDetailsLine001,   9   A-A         9999999999999999                                                     999999999999    AAA                                AA99999                        99:99:99     *
CCCCD023P,CCCCD023P,10790,4135,8,4,TRX_CD,Decimal,23,25,3,1,1,RptDetailsLine001, A                 999   9    9999999999999999  A     A   999    99999    999    99    999             999.99  AAA 99/99/99  A             *
CCCCD023P,CCCCD023P,10790,4135,8,5,CARD_NO_CUST_AC,Text,27,45,19,1,1,RptDetailsLine001, A                 999   9    9999999999999999  A     A   999    99999    999    99    999             999.99  AAA 99/99/99  A             *
CCCCD023P,CCCCD023P,10790,4135,8,9,GL_AC_ACCT,DigitCode,65,69,5,1,1,RptDetailsLine001, A                 999   9    9999999999999999  A     A   999    99999    999    99    999             999.99  AAA 99/99/99  A             *
CCCCD024P,CCCCD024P,10789,4136,8,5,CARD_NO_CUST_AC,Text,26,44,19,1,1,RptDetailsLine001,  A                 9 999    9999999999999999  A    A     999    99999    999    99    999             999.99 AAA 99/99/99  A                           *
CCCCD025P,CCCCD025P,10788,4137,8,5,CARD_NO_CUST_AC,Text,27,45,19,1,1,RptDetailsLine001,  A                999 999    9999999999999999  A    A    999    99999    999    99    999             999.99 AAA 99/99/99  A                           *
CCCCD091P,CCCCD091P:Merchant Settlement Rpt-CUP,32400,8610,7,2,MER_ID,Text,3,13,11,1,1,RptDetailLine001, 9    99999999  9999 9AAA AAAAA AAA AAA               A            9999.99-              .99             99.99-          9999.99- 9 *
CCCCD099Q,CCCCD099Q:Zero Exempted Rpt,32612,1798,8,3,CARD_NO,Decimal,26,41,16,1,1,RptDetailsLine001, 9/99/9999    9/99/9999          999999999      AA         999  AAAAAAAA AAAAAAA                                               9.99-*
CCCCD108P,CCCCD108P:Change in Agreement Status Rpt,38277,3600,7,8,CIF_NO,Text,66,84,19,1,1,RptDetailLine002,AAAAA AAAA : AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA   AAA AA. : 9999999999999999999   AA AA : AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA   AAAA AA : 9999999999999999999                           *
CCCCD122P,CCCCD122P:CRS Overpayment Report,42433,4673,9,2,CIF,Text,3,32,30,1,1,RptDetailLine001,"9            999999999             AA AAAA AA AAA 999                                    999999999 AAAAAA               9,999.99-   *"
CCCCD127P,CCCCD127P:Daily CC COI Report,44194,5905,11,6,MERCHANT_ID,Text,44,64,21,1,1,RptDetailLine001,9  9999 9999 9999 9999                         99999999                         999.99                 99.99                 999.99 *
CCCCD128PA,CCCCD128PA:BT n CW Spooling Rpt(Successful),44195,5907,8,2,CARD_NUMBER,Text,3,24,22,1,1,RptDetailLine001,9  9999 9999 9999 9999    AA                      A9999999A                  9999999999999999999                999.99              *
CCCCD128PB,CCCCD128PB:BT n CW Spooling Rpt(Successful),44198,5909,8,2,CARD_NUMBER,Text,3,24,22,1,1,RptDetailLine001,9  9999 9999 9999 9999    AA                      A9999999A                  9999999999999999999                999.99              *
CCCCD134P,CCCCD134P:Hadoop Acknowledgement Exceptional,44250,5997,7,2,Txn_Ref_No,DigitCode,3,24,22,1,1,RptDetailLine001,9  99999999999999999        99/99/99   9999 9999 9999 9999   999999999     9/99/99                     9.99          999            99/99/99      AAA             AA AAAAAAAA AAAA AAAAAA*
CCCCD134P1,CCCCD134P1:Successful Waiver Channel Rpt,44251,5996,8,2,Txn_Ref_No,DigitCode,3,24,22,1,1,RptDetailLine001,9  99999999999999999        99/99/99   9A9A99A9A99A                                      AAAA AAAAA AAAAA AAAA         AAAAAAAA AAAAAA       999999999    9/99/99        A                     9.99 *
CCCCD134P2,CCCCD134P2:Unsuccessful Waiver Channel Rpt,44252,6012,8,4,CUSTOMER_NAME,Text,40,87,48,1,1,RptDetailLine001,9  99999999999999999       99/99/99     AAAAAA AAAA                                      AAAA AAA AAAAAAAA            AAAA AAAAAA        999999999   99/99/99      A                         999.99 *
CCCCD147P,CCCCD147P:,46322,8913,7,2,BIN,Text,7,14,8,1,1,RptDetailLine001,     9 99999999  AA999A          AAAA AAAAA AAAAAA AAAA                9999999     9               999999                           *
CCCCD147P,CCCCD147P:,46322,8913,7,3,CARD_GEN_RULE,Text,17,29,13,1,1,RptDetailLine001,     9 99999999  AA999A          AAAA AAAAA AAAAAA AAAA                9999999     9               999999                           *
CCCCD152P,CCCCD152P:Port Over Balance Processing Excpt Rpt,46392,8828,7,2,CIF_NUMBER,Text,3,21,19,1,1,RptDetailLine001,9           9999999999 9999 9999 9999 9999 9999 9999 9999 9999 AAAAAAAA   AAAAAAAAA AAAA AAAA AAAAAAA AAAAAAA                       *
CCCCD152P,CCCCD152P:Port Over Balance Processing Excpt Rpt,46392,8828,7,3,FROM_CARD_NUMBER,Text,23,41,19,1,1,RptDetailLine001,9           9999999999 9999 9999 9999 9999 9999 9999 9999 9999 AAAAAAAA   AAAAAAAAA AAAA AAAA AAAAAAA AAAAAAA                       *
CCCCD152P,CCCCD152P:Port Over Balance Processing Excpt Rpt,46392,8828,7,7,TO_CARd_NUMBER,Text,43,61,19,1,1,RptDetailLine001,9           9999999999 9999 9999 9999 9999 9999 9999 9999 9999 AAAAAAAA   AAAAAAAAA AAAA AAAA AAAAAAA AAAAAAA                       *
CCCCD153P,CCCCD153P:Excluded CC For Deposit Acc Switch Rpt,46393,8832,7,2,Excl_Credit_card_number,Text,3,25,23,1,1,RptDetailLine001,9  9999 9999 9999 9999      9999 9999 9999 9999         999999999999    A         AAA                                               *
CCCCD153P,CCCCD153P:Excluded CC For Deposit Acc Switch Rpt,46393,8832,7,6,debit_card_number,Text,28,47,20,1,1,RptDetailLine001,9  9999 9999 9999 9999      9999 9999 9999 9999         999999999999    A         AAA                                               *
CCCCD154P,CCCCD154P:Conversion:Block Upon Activation Rpt,46394,8824,8,2,old_card_number,Text,3,21,19,1,1,RptDetailLine001,9  9999 9999 9999 9999 9999 9999 9999 9999 A     9               9/99/9999 999999     A        A     AAA AAAA AAAAAAAAA AAA AAAA AA *
CCCCD154P,CCCCD154P:Conversion:Block Upon Activation Rpt,46394,8824,8,4,card_stop_acde,Text,58,59,2,1,1,RptDetailLine001,9  9999 9999 9999 9999 9999 9999 9999 9999 A     9               9/99/9999 999999     A        A     AAA AAAA AAAAAAAAA AAA AAAA AA *
CCCCD154P,CCCCD154P:Conversion:Block Upon Activation Rpt,46394,8824,8,6,new_card_number,Text,23,41,19,1,1,RptDetailLine001,9  9999 9999 9999 9999 9999 9999 9999 9999 A     9               9/99/9999 999999     A        A     AAA AAAA AAAAAAAAA AAA AAAA AA *
CCCCD157P,CCCCD157P:Port Over Balance Back Log Report,46425,9026,7,3,CIF_NUMBER,Text,15,33,19,1,1,RptDetailLine001,9            9          9999999999 9999 9999 9999 9999 9999 9999 9999 9999  9/99/9999                                               *
CCCCD157P,CCCCD157P:Port Over Balance Back Log Report,46425,9026,7,4,FROM_CARD_NUMBER,Text,35,53,19,1,1,RptDetailLine001,9            9          9999999999 9999 9999 9999 9999 9999 9999 9999 9999  9/99/9999                                               *
CCCCD172P,CCCCD172P:Posting Transactions via Online STP,48304,10392,7,2,BATCHNO,DigitCode,5,14,10,1,1,RptDetailLine001, 9   99999999   999999 999   9999 9999 9999 9999      9/99/99               999.99      AAA           99    AAAAAAAAAA     AAA      *
CCCCD172P,CCCCD172P:Posting Transactions via Online STP,48304,10392,7,5,CARDNO,Text,29,47,19,1,1,RptDetailLine001, 9   99999999   999999 999   9999 9999 9999 9999      9/99/99               999.99      AAA           99    AAAAAAAAAA     AAA      *
CCCCD172P,CCCCD172P:Posting Transactions via Online STP,48304,10392,7,13,TRXN_STATUS,Text,107,117,11,1,1,RptDetailLine001, 9   99999999   999999 999   9999 9999 9999 9999      9/99/99               999.99      AAA           99    AAAAAAAAAA     AAA      *
CCCCM013P2,CCCCM013P2:CCM013P1 run N way,44393,6173,8,2,CARD,Text,12,31,20,1,1,RptDetailLine001,"    9999999     9999999999999999  AAA                 9,999.99                    .99                    .99                    .99 *"
CCCCM013P3,CCCCM013P3:Unbilled IPP by Merchant ID with GL,46360,8757,8,2,MERCHANT_ID,Decimal,32,42,11,1,1,RptDewtailLine001,999-999-99999-999-99-999-AAA        9999999     9999999999999999  AAA                   999.99                    .99                    .99                    .99   *
CCCCM013P3,CCCCM013P3:Unbilled IPP by Merchant ID with GL,46360,8757,8,3,CARD,Decimal,45,63,19,1,1,RptDewtailLine001,999-999-99999-999-99-999-AAA        9999999     9999999999999999  AAA                   999.99                    .99                    .99                    .99   *
CCCCM022P,CCCCM022P,20163,9187,6,4,merchant_ID,Integer,14,29,16,1,1,RptDetailLine001,AAAAAAAA AA :     9999999      AAAAAAAA AAAA  : 999999A99A9AA9                                                                      *
CCCCM022P,CCCCM022P,20163,9187,6,8,merchant_name,Text,48,88,41,1,1,RptDetailLine001,AAAAAAAA AA :     9999999      AAAAAAAA AAAA  : 999999A99A9AA9                                                                      *
CCCCM022P,CCCCM022P,20163,9187,7,4,card_no,Text,10,30,21,1,1,RptDetailLine002,AAAA AA : 9999 9999 9999 9999  AAAAAAAA AAAA  :                                              AAAAA AA   :  99999  AAAAA AAAA :  99  *
CCCCM022P,CCCCM022P,20163,9187,7,14,order_no,Text,106,112,7,1,1,RptDetailLine002,AAAA AA : 9999 9999 9999 9999  AAAAAAAA AAAA  :                                              AAAAA AA   :  99999  AAAAA AAAA :  99  *
CCCNV820P,CCCNV820P:Stndalne Sup Card CNV for Existng Crdhdr,46942,9429,6,4,conversion_file_ID,Text,20,54,35,1,1,RptDetailLine001,AAAAAAAAAA AAAA AA: AAAAAAAA  999999999999                                                                                          *
CCCNV820P,CCCNV820P:Stndalne Sup Card CNV for Existng Crdhdr,46942,9429,7,4,conversion_ID,Text,20,41,22,1,1,RptDetailLine002,AAAAAAAAAA AA     : AAAAAA                 AAAAAAAAAAA: AAAAAA AA 999 AAAA AAAA9                                                    *
CCCNV821P,CCCNV821P:Stndalne Sup Card CNV Status report,46943,9431,6,4,conversion_file_ID,Text,20,54,35,1,1,RptDetailLine001,AAAAAAAAAA AAAA AA: AAAAAAAA  999999999999                                                                                          *
CCCNV821P,CCCNV821P:Stndalne Sup Card CNV Status report,46943,9431,7,4,conversion_ID,Text,20,41,22,1,1,RptDetailLine002,AAAAAAAAAA AA     : AAAAAA                 AAAAAAAAAAA: AAAAAA AA 999 AAAA AAAA9                                                    *
CCDM156P,CCDM156P:Reconciliation Report,45384,8109,7,2,account_num,Text,13,26,14,1,1,RptDetailLine001,"     9          99999999999                  9,999                      999.99      999                   A99               9       *"
CCICS802PA,CCICS802PA:Manually Registered Transactions,6223,8617,9,2,BATCHNO,Integer,4,12,9,1,1,RptDetailLine002, 9      99999  999999   99   9999 9999 9999 9999     99/99/99               999.99      AAA                 999.99   AAA   9.9999  AAAAA999      AA9999A999A99AA999A    *
CCICS802PA,CCICS802PA:Manually Registered Transactions,6223,8617,9,15,USERID,Text,131,142,12,1,1,RptDetailLine002, 9      99999  999999   99   9999 9999 9999 9999     99/99/99               999.99      AAA                 999.99   AAA   9.9999  AAAAA999      AA9999A999A99AA999A    *
CCICS802PC,CCICS802PC,9468,8618,8,2,BATCHNO,Integer,4,12,9,1,1,RptDetailLine001, 9   99999999  999999  99   9999 9999 9999 9999     99/99/99               999.99     AAA                  999.99   AAA   9.9999  AAAAA999      AA9999A999A99AA999A*
CCICS802PC,CCICS802PC,9468,8618,8,15,USER_ID,Text,130,141,12,1,1,RptDetailLine001, 9   99999999  999999  99   9999 9999 9999 9999     99/99/99               999.99     AAA                  999.99   AAA   9.9999  AAAAA999      AA9999A999A99AA999A*
CCICS861PENE,CCICS861PENE:Cntrl Sum New_Renew_Replacement Cards,34461,3291,4,2,Branch,DigitCode,8,10,3,1,1,RptHeader002,AAAAAA: 999 AAAA AAAA(AAAAAAAAA) AAAA AAAAAA                                                                                        *
CCICS861PENE,CCICS861PENE:Cntrl Sum New_Renew_Replacement Cards,34461,3291,7,3,Seq,Text,51,51,1,1,1,RptLine001,"AAA                     AAAAAAAAAAAAAAAAAAAAAAAAA  A      A          9,999,999                    9,999,999              9,999,999  *"
CCICS934P,CCICS934P,6355,10407,10,1,CARD_NUMBER,Text,0,18,19,1,1,RptDetails001,9999 9999 9999 9999      99:99:99                 9.99   999999               9   AA       A      99 9999  AAAAAAA A   AAAAAAAA  AAA*
CCICS936P,CCICS936P,6357,6463,6,5,MERCHANT_ID,Text,27,37,11,1,1,RptTitleLine001,AAAAAAAA AA/AAAAAAA AAAA :     9999999  AAA AAAAA AAAA                                                                              *
CCICS936P,CCICS936P,6357,6463,9,1,CARD_NUMBER,Text,0,23,24,1,1,RptDetailLine001,"9999 9999 9999 9999      99:99:99              9,999.99    A   99999999    A   999  A     A    A      AAA AAAA AAAAAAA          A   *"
CCICS938P,CCICS938P,6359,6465,9,1,CARD_NUMBER,Text,0,31,32,1,1,RptDetailLine001,9999 9999 9999 9999              99:99:99                 9.99       999999    99999999  A                          AAAAAAAAA AAAAAA*
CCICZ462P,CCICZ462P:Trailing Interest Waiver Report,44246,6014,8,3,CARD_NUMBER,Text,29,47,19,1,1,RptDetailLine001,9  99999A9A9A999             9999999999999999999  999   AAAA AAAA AAAAAAA              999   99/99/99                               *
CCICZ616P,CCICZ616P:,39497,3904,8,1,MERCHANT_ID,Decimal,1,11,11,1,1,RptDetailLine001,"    99999999   AAA AAAA AAA-AAA                   999999999999A     9999999999999999999                 999,999.99    AAA        AA:A/A AAA AA AAAA*"
CCICZ620P,CCICZ620P:Credit Card Payments via GPP,41322,4130,8,2,INSTRUCTION_ID,Text,21,41,21,1,1,RptDetailLine001,9.999999             AAAAAAA9                             AAAA                                                                      *
CCICZ620Q,CCICZ620Q:Credit Card Payments via GPP - Rejection,41323,4131,8,2,INSTRUCTION_ID,Text,21,55,35,1,1,RptDetailLine001,9.999999             AAAAAAAAA                            AAAA                             AAA AAAAAAAA                             *
CCICZ630P,CCICZ630P:,45961,8359,11,8,NAME,Text,71,101,31,1,1,RptDetailLine001,9 +        9.99         + 99.999%            99.99             99.99   99999A9A99A99999A99A99999           999999999    9999999999999999                      9999.99             9999.99*
CCICZ630P,CCICZ630P:,45961,8359,11,9,CIF,Text,103,115,13,1,1,RptDetailLine001,9 +        9.99         + 99.999%            99.99             99.99   99999A9A99A99999A99A99999           999999999    9999999999999999                      9999.99             9999.99*
CCICZ630P,CCICZ630P:,45961,8359,11,10,CARD_NUMBER,Text,118,135,18,1,1,RptDetailLine001,9 +        9.99         + 99.999%            99.99             99.99   99999A9A99A99999A99A99999           999999999    9999999999999999                      9999.99             9999.99*
CCICZ631P,CCICZ631P:,45962,8361,8,4,PENAL_PROMO_INTEREST,Text,23,31,9,1,1,RptDetailLine001,9    9/99/9999         -  9.999%              .99     -            9.99    99.999%              99.99                99.99             999.99              999.99*
CCICZ631P,CCICZ631P:,45962,8361,8,5,PENALTY_AMOUNT,Decimal,33,48,16,1,1,RptDetailLine001,9    9/99/9999         -  9.999%              .99     -            9.99    99.999%              99.99                99.99             999.99              999.99*
CCICZ631P,CCICZ631P:,45962,8361,8,8,PREVAILING_INTEREST,Text,72,81,10,1,1,RptDetailLine001,9    9/99/9999         -  9.999%              .99     -            9.99    99.999%              99.99                99.99             999.99              999.99*
CCICZ631P,CCICZ631P:,45962,8361,8,9,PREVAILING_AMOUNT,Decimal,85,100,16,1,1,RptDetailLine001,9    9/99/9999         -  9.999%              .99     -            9.99    99.999%              99.99                99.99             999.99              999.99*
CCICZ638P,CCICZ638P:Credit Card COI Status Report,47377,9718,7,2,card_no,Text,2,19,18,1,1,RptDetailLine001,"9 9999999999999999     A                          9,999.99        999                     .99                  99.99                      .99                9,999.99 *"
CCICZ638P,CCICZ638P:Credit Card COI Status Report,47377,9718,8,3,bill_seq,Text,62,68,7,1,1,RptDetailLine002,9                                                    99.99        999                     .99                  99.99                      .99                   99.99 *
CCICZ859P,CCICZ859P:Un-activated Cards Report,44356,6171,8,2,CARD_NO,Text,28,46,19,1,1,RptDetailLine001,9AAAAA                      9999 9999 9999 9999 AAA AAAA AAAAAAA           A               9999999999    9/99/9999            A                 *
CCICZ874P,CCICZ874P:Balance Trf Summ Portfolio Rpt,30090,5863,8,11,TRANCHE_CODE,Text,54,63,10,1,1,RptDetailLine001," 99    9999    A99999      AA 9% 9 AAAA A 9% AA       A99         999                    .99          9                 9,999.99         9                    .99           9                     99.99                  99.99    .999                    .99*"
CCICZ907P,CCICZ907P:Daily Dynamic Currency Conv Fee Rpt,40487,5380,9,2,CREDIT_CARD_NUMBER,Text,12,32,21,1,1,RptDetailLine001,   9/99/99       9999999999999999   AAAAAA              A             AAAA                                                          *
CCICZ920P,CCICZ920P,6576,3318,4,2,Branch,DigitCode,8,10,3,1,1,RptHeader02,AAAAAA: 999 AAAA AAAA(AAAAAAAAA) AAAA AAAAAA                                                                                                      *
CCICZ920P,CCICZ920P,6576,3318,6,4,Product_ID,Text,13,45,33,1,1,RptHeader03,AAAAAAA AA : AAAAAA  AAAAAAAAAAAAAAAAAAAAAAAAA                                                                                                    *
CCICZ920P,CCICZ920P,6576,3318,10,1,Card_no,Text,0,18,19,1,1,RptLine001,AAAAAAAAAAAAAAAAAAA   AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA  AAAAAAAAAAAAAAAAAAAAAAAAAA    99/99 99/99   AAAAAA  AAAAAA              *
CCICZ920Q,CCICZ920Q,6575,3311,4,2,Branch,DigitCode,8,10,3,1,1,RptHeader02,AAAAAA: 999 AAAA AAAA(AAAAAAAAA) AAAA AAAAAA                                                                                                      *
CCICZ920Q,CCICZ920Q,6575,3311,6,4,Product_ID,Text,13,45,33,1,1,RptHeader03,AAAAAAA AA : AAAAAA  AAAAAAAAAAAAAAAAAAAAAAAAA                                                                                                    *
CCICZ920Q,CCICZ920Q,6575,3311,10,1,Card_no,Text,0,18,19,1,1,RptLine001,AAAAAAAAAAAAAAAAAAA   AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA  AAAAAAAAAAAAAAAAAAAAAAAAAA    99/99 99/99   AAAAAA  AAAAAA              *
CCICZ950P,CCICZ950P:Bal Transfer / Gift Cheque Approved Rpt,10403,5948,13,3,CIF_NUMBER,Text,25,43,19,1,1,RptDetailLine002,9 A9999999A                       9999999999  A99999                     .99  999999999999                       9   AAA999         *
CCICZ962P,CCICZ962P:Force Posting Monitoring Program,44998,6682,9,1,CARD_NUMBER,Text,0,18,19,1,1,RptDetailsLine001,9999 9999 9999 9999       AAA AAAAAAA  9                            AAA AAA A A             AA AAAAA     AA   99/99/99              *
CCICZ963P,CCICZ963P:PIN by RSA Return Report,46884,9370,7,4,card_number,Text,23,42,20,1,1,RptDetailLine001,9.   99/99/99 99:99:99 9999-9999-9999-9999  99/99   AAAAAA AAAA AAAA AAA       A9AAAA   AAAA     /A999         AAAAAAAA AAAAAAAAAAA *
CCICZ963P,CCICZ963P:PIN by RSA Return Report,46884,9370,7,10,product,Text,79,86,8,1,1,RptDetailLine001,9.   99/99/99 99:99:99 9999-9999-9999-9999  99/99   AAAAAA AAAA AAAA AAA       A9AAAA   AAAA     /A999         AAAAAAAA AAAAAAAAAAA *
CCIPM856Q,CCIPM856Q:ABU Post Maintenance Report (Fraud),48567,10607,10,2,OLD_CUSTOMER_NUMBER,Text,2,20,19,1,1,RptDetailLine001,9          9999999999                                       9999 9999 9999 9999       999/99       A               99     AAAAAAAAAA*
CCIPM856Q,CCIPM856Q:ABU Post Maintenance Report (Fraud),48567,10607,10,3,OLD_CARD_NO,Text,23,46,24,1,1,RptDetailLine001,9          9999999999                                       9999 9999 9999 9999       999/99       A               99     AAAAAAAAAA*
CCIPM856Q,CCIPM856Q:ABU Post Maintenance Report (Fraud),48567,10607,10,4,NEW_CARD_NO,Text,60,78,19,1,1,RptDetailLine001,9          9999999999                                       9999 9999 9999 9999       999/99       A               99     AAAAAAAAAA*
CCRFS810P,CCRFS810P:Fraud Alert 1st Action Rpt,35138,5347,13,9,CARD_NUMBER,Text,67,89,23,1,1,RptDetailLine001, 9     9  9/99/99  999999 99/99/99  999999  999         999999     9999 9999 9999 9999     999999   9/99/99                   .99   *
CCVIS663P,CCVIS663P:VCF Outgoing Control Report,45440,7362,9,2,COMPANY_ID,DigitCode,8,20,13,1,1,RptDetailsLine001,   9    9999999999     99999        99      9999999999                       .99                                                    *
CCVIS824P,CCVIS824P,6850,6971,8,4,PAN_CARD_NO,Text,22,42,21,1,1,RptDetailsLine003, AAA/AAAA AA.   :     9999 9999 9999 9999        AAAAA AA.   .  :   99999999 -  999999                                              *
CDU007P,CDU007P,1261,173,2,2,BrCode,Decimal,46,48,3,1,1,RptTitleLine002,AAAA AAAA                              AAAAAA:999                                                              AAA999A   AAAA     9 *
CDU100P,CDU100P,10460,10065,7,1,ACCOUNT_NO,Text,0,13,14,1,1,RptDetails001,"999-999999-999  999999 AAAAAAAAAAAAAAAAAAAA  A9          9,999,999.99      9.9999999     9.9999999  99/99/99 99/99/99    9  A  AAA  *"
CDU112P,CDU112P,1276,41,8,1,ACCOUNT_NO,Mask,0,13,14,1,1,RptDetailLine001,"999-999999-999    999   A9             99,999.99      99 A     9.99999999   99/99/99   99/99/99     A     A                         *"
CDU125P,CDU125P,1285,1153,2,9,SEG,Text,72,73,2,1,1,RptHeaderLine002,AAAA AAAA                              AAAAAA:999               AAAAAAA:A            AAAAAAA:A999              AAA999A   AAAA     9 *
CDU125P,CDU125P,1285,1153,9,1,ACCOUNT_NO,Mask,0,13,14,1,1,RptDetailLine001,999-999999-999 AAAAAAAA.AAA AAA AAA                                                                                                 *
CDU127P,CDU127P,1287,10068,8,1,ACCOUNT_NO,Mask,0,13,14,1,1,RptDetails1,999-999999-999   A         AAAAAAAAAAAAAAA AA      99/99/99     9 A       .99999999  A AAA AA AA AAAAAAAAA     9999999999 A         *
CDU128P,CDU128P,1288,614,8,1,ACCOUNT_NO,Text,0,13,14,1,1,RptDetails1,999-999999-999         A       A                A        A              A         A           A        9      9/99/99   99:99:99    *
